party,district,date,blankVotes,blankVotesPercentage,nullVotes,nullVotesPercentage,percentage,percentageVoters,validVotesPercentage,votes
IL,Bragança,2019-10-06,1305,439.9699999999999,1417,534.4799999999999,61.65,10084.110000000006,64.59999999999998,271
IL,Castelo Branco,2019-10-06,2250,279.49000000000007,2232,324.70999999999987,43.78999999999999,6581.849999999999,46.17000000000002,543
IL,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.0999999999999,76.56000000000004,8356.2,81.11999999999995,1676
IL,Faro,2019-10-06,4900,200.80000000000004,3069,136.77,46.12000000000001,3274.2000000000003,48.59000000000001,1424
IL,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,111.67999999999999,11918.08,118.31999999999995,461
IL,Leiria,2019-10-06,8202,390.65000000000003,5152,266.55,84.99999999999999,6036.829999999998,90.47,2054
IL,Lisboa,2019-10-06,23702,327.96,16081,226.88000000000002,248.31,7702.05,257.6499999999999,27166
IL,Madeira,2019-10-06,697,31.670000000000016,2292,96.04,29.779999999999994,2742.3799999999997,30.449999999999996,922
IL,Portalegre,2019-10-06,1200,140.92999999999998,999,142.62000000000003,23.280000000000005,3953.2100000000005,24.27999999999999,255
IL,Porto,2019-10-06,21233,537.0000000000003,15185,439.6499999999998,216.06999999999988,14050.8,224.98999999999995,14221
IL,Santarém,2019-10-06,6022,401.4200000000002,4011,286.9199999999999,84.26999999999998,7980.309999999998,88.64999999999999,1605
IL,Setúbal,2019-10-06,8191,114.34999999999998,6038,82.91999999999999,46.00999999999999,3000.2299999999996,47.84999999999999,4133
IL,Viana do Castelo,2019-10-06,3617,588.8000000000001,2199,371.44999999999965,86.83999999999996,10214.650000000003,91.32999999999998,692
IL,Vila Real,2019-10-06,2258,427.44000000000005,2397,525.38,51.54,8533.27,54.300000000000004,425
IL,Viseu,2019-10-06,4995,693.7199999999996,3700,611.5299999999996,101.56999999999996,14117.129999999994,106.80999999999999,974
IL,Évora,2019-10-06,1680,139.88,1047,100.47000000000003,30.240000000000002,3860.3,31.35000000000001,490
JPP,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000005,20.230000000000008,8243.029999999997,21.06,448
JPP,Aveiro,2019-10-06,10642,447.39999999999986,6375,272.96,11.450000000000003,8015.390000000001,12.0,264
JPP,Beja,2015-10-04,1230,110.82000000000004,1132,120.95000000000003,9.849999999999998,4397.6399999999985,10.16,88
JPP,Braga,2015-10-04,10708,754.4299999999996,6112,458.45000000000005,46.54,20443.15,48.199999999999974,637
JPP,Braga,2019-10-06,14504,1053.8299999999997,8029,645.0499999999995,31.049999999999983,20522.75,32.969999999999985,411
JPP,Bragança,2015-10-04,1189,371.77000000000004,1408,473.17000000000013,39.760000000000005,10585.050000000003,41.41999999999999,121
JPP,Coimbra,2015-10-04,5929,392.8599999999999,3536,293.08000000000004,19.240000000000006,8770.320000000002,20.150000000000002,272
JPP,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,10.740000000000007,8356.199999999999,11.49,149
JPP,Guarda,2015-10-04,1689,505.5499999999998,1987,596.7099999999994,24.979999999999997,12321.069999999996,26.129999999999995,83
JPP,Leiria,2015-10-04,6902,311.5900000000001,4699,228.64999999999998,19.210000000000008,6298.630000000001,20.28,371
JPP,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55000000000007,12.130000000000004,6036.829999999998,12.92,217
JPP,Lisboa,2015-10-04,22176,285.3299999999999,17112,212.62000000000015,21.77,8132.059999999998,22.650000000000002,1553
JPP,Madeira,2015-10-04,1018,47.94000000000001,3597,156.12,318.84,2623.62,330.97,8671
JPP,Madeira,2019-10-06,697,31.670000000000012,2292,96.04,244.33,2742.3799999999997,249.2,7125
JPP,Porto,2015-10-04,18902,422.32000000000005,14073,372.60999999999996,35.42000000000004,14410.610000000006,36.640000000000015,1239
JPP,Porto,2019-10-06,21233,537.0000000000005,15185,439.6499999999998,35.350000000000016,14050.8,36.81999999999999,1074
JPP,Setúbal,2015-10-04,7261,91.49,6183,76.11000000000003,6.249999999999998,3261.0899999999992,6.430000000000001,561
JPP,Viana do Castelo,2015-10-04,3228,491.7,2141,350.8700000000002,21.840000000000007,10140.639999999996,22.80999999999999,160
JPP,Viana do Castelo,2019-10-06,3617,588.8000000000001,2199,371.44999999999965,63.58,10214.650000000005,66.72,587
JPP,Viseu,2019-10-06,4995,693.7199999999996,3700,611.5299999999996,16.18,14117.129999999996,16.959999999999997,118
L,Aveiro,2019-10-06,10642,447.3999999999999,6375,272.9599999999999,79.52999999999999,8015.390000000002,83.66000000000003,2409
L,Açores,2019-10-06,3926,831.7299999999993,1363,248.04999999999998,108.17000000000003,6204.549999999999,116.81000000000006,714
L,Beja,2019-10-06,1371,140.86,1094,129.99,35.03999999999999,3994.1099999999997,36.38,397
L,Braga,2019-10-06,14504,1053.8300000000002,8029,645.0499999999994,183.91000000000003,20522.750000000004,193.31,3179
L,Bragança,2019-10-06,1305,439.9699999999999,1417,534.4799999999999,70.95000000000002,10084.110000000006,74.28999999999999,270
L,Castelo Branco,2019-10-06,2250,279.49,2232,324.70999999999987,81.77999999999996,6581.849999999999,86.23000000000002,834
L,Coimbra,2019-10-06,6889,531.2600000000002,3814,347.09999999999985,107.19000000000004,8356.199999999999,113.72999999999999,1926
L,Faro,2019-10-06,4900,200.80000000000004,3069,136.77000000000004,56.69999999999998,3274.2000000000003,59.690000000000005,1704
L,Guarda,2019-10-06,2026,625.8999999999994,2057,675.4999999999997,87.43000000000004,11918.08,92.48999999999998,373
L,Leiria,2019-10-06,8202,390.6500000000001,5152,266.55,83.75000000000001,6036.829999999998,89.18,2053
L,Lisboa,2019-10-06,23702,327.96,16081,226.88,225.89000000000001,7702.05,234.68,22807
L,Madeira,2019-10-06,697,31.670000000000016,2292,96.04,17.300000000000004,2742.38,17.730000000000008,480
L,Portalegre,2019-10-06,1200,140.92999999999998,999,142.62000000000003,33.51,3953.2100000000005,35.01000000000001,291
L,Porto,2019-10-06,21233,537.0000000000003,15185,439.6499999999998,175.9499999999999,14050.8,183.33,8952
L,Santarém,2019-10-06,6022,401.4200000000002,4011,286.9199999999999,104.82999999999998,7980.309999999998,110.16999999999999,1782
L,Setúbal,2019-10-06,8191,114.34999999999997,6038,82.91999999999999,55.029999999999994,3000.2299999999996,57.14,4874
L,Viana do Castelo,2019-10-06,3617,588.8000000000001,2199,371.44999999999965,95.17999999999996,10214.650000000005,99.77000000000002,688
L,Vila Real,2019-10-06,2258,427.4400000000001,2397,525.3799999999999,69.25999999999998,8533.27,72.90999999999995,549
L,Viseu,2019-10-06,4995,693.7199999999996,3700,611.5299999999996,93.46,14117.129999999996,98.32000000000005,875
L,Évora,2019-10-06,1680,139.88000000000002,1047,100.47000000000003,34.17000000000001,3860.2999999999997,35.460000000000015,503
L/TDA,Aveiro,2015-10-04,9163,353.6900000000002,6130,252.76000000000005,53.7,8243.029999999997,56.02000000000003,1660
L/TDA,Açores,2015-10-04,3047,556.7399999999999,1583,284.5699999999999,41.41000000000002,7021.7599999999975,43.59,332
L/TDA,Beja,2015-10-04,1230,110.82000000000004,1132,120.95000000000005,21.389999999999997,4397.639999999999,22.129999999999992,271
L/TDA,Braga,2015-10-04,10708,754.4299999999995,6112,458.45000000000005,142.8200000000001,20443.15,147.92,2333
L/TDA,Bragança,2015-10-04,1189,371.77000000000004,1408,473.17000000000013,80.30000000000001,10585.050000000001,83.69999999999997,251
L/TDA,Castelo Branco,2015-10-04,2091,227.7899999999999,2167,283.78,40.5,6792.179999999996,42.449999999999996,507
L/TDA,Coimbra,2015-10-04,5929,392.8599999999999,3536,293.08000000000004,64.73999999999998,8770.320000000003,67.72000000000003,1292
L/TDA,Faro,2015-10-04,4286,153.04000000000002,3079,124.43,41.959999999999994,3619.5499999999997,43.78,1435
L/TDA,Guarda,2015-10-04,1689,505.5499999999998,1987,596.7099999999994,60.86000000000001,12321.069999999996,63.8,287
L/TDA,Leiria,2015-10-04,6902,311.5900000000001,4699,228.64999999999998,69.2,6298.63,72.76,1786
L/TDA,Lisboa,2015-10-04,22176,285.32999999999987,17112,212.62000000000018,135.0499999999999,8132.059999999998,139.89000000000001,14683
L/TDA,Madeira,2015-10-04,1018,47.94000000000001,3597,156.12000000000003,47.07000000000001,2623.62,48.98,1260
L/TDA,Portalegre,2015-10-04,1130,118.61000000000004,896,104.43000000000002,17.53,4266.54,18.090000000000007,189
L/TDA,Porto,2015-10-04,18902,422.32000000000005,14073,372.60999999999996,82.84000000000007,14410.610000000006,85.66000000000003,5014
L/TDA,Santarém,2015-10-04,5142,303.81,3967,263.78000000000003,66.83999999999999,8382.39,69.69,1236
L/TDA,Setúbal,2015-10-04,7261,91.48999999999998,6183,76.11000000000003,48.57,3261.0899999999992,50.199999999999996,4277
L/TDA,Viana do Castelo,2015-10-04,3228,491.7,2141,350.8700000000002,54.05999999999995,10140.639999999996,56.31,453
